Meses | Ano,Tempo assistido horas,Canais ativos
Setembro | 2012,   55900000, 0
Outubro | 2012,    73700000, 0
Novembro | 2012,   79100000, 0
Dezembro | 2012,   89800000, 0
Janeiro | 2013,   110000000, 0
Fevereiro | 2013, 111000000, 0
Março | 2013,     140000000, 0
Abril | 2013,     138000000, 0
Maio | 2013,      136000000, 0
Junho | 2013,     105000000, 0
Julho | 2013,     159000000, 0
Agosto | 2013,    168000000, 0
Setembro | 2013,  155000000, 0
Outubro | 2013,   159000000, 0
Novembro | 2013,  188000000, 0
Dezembro | 2013,  188000000, 0
Janeiro | 2014,   216000000, 0
Fevereiro | 2014, 204000000, 0
Março | 2014,     186000000, 0
Abril | 2014,     224000000, 0
Maio | 2014,      246000000, 0
Junho | 2014,     254000000, 0
Julho | 2014,     271000000, 0
Agosto | 2014,    291000000, 0
Setembro | 2014,  276000000, 0
Outubro | 2014,   242000000, 0
Novembro | 2014,  283000000, 0
Dezembro | 2014,  295000000, 0
Janeiro | 2015,   371000000, 0
Fevereiro | 2015, 347000000, 0
Março | 2015,     392000000, 0
Abril | 2015,     363000000, 0
Maio | 2015,      387000000, 0
Junho | 2015,     374000000, 0
Julho | 2015,     410000000, 0
Agosto | 2015,    446000000, 0
Setembro | 2015,  365000000, 0
Outubro | 2015,   439000000, 0
Novembro | 2015,  421000000, 0
Dezembro | 2015,  407000000, 0
Janeiro | 2016,   480000000, 0
Fevereiro | 2016, 441000000, 0 
Março | 2016,     490000000, 0
Abril | 2016,     379000000, 0
Maio | 2016,      450000000, 0
Junho | 2016,     447000000, 0
Julho | 2016,     446000000, 0
Agosto | 2016,    382000000, 0
Setembro | 2016,  385000000, 0
Outubro | 2016,   453000000, 0
Novembro | 2016,  450000000, 0
Dezembro | 2016,  490000000, 185334
Janeiro | 2017,   604000000, 1942933
Fevereiro | 2017, 501000000, 1894405
Março | 2017,     516000000, 1953138
Abril | 2017,     535000000, 1804061
Maio | 2017,      507000000, 1804282
Junho | 2017,     511000000, 1921765
Julho | 2017,     567000000, 2386623
Agosto | 2017,    534000000, 2142869
Setembro | 2017,  528000000, 1950271
Outubro | 2017,   585000000, 2048513
Novembro | 2017,  576000000, 2115552
Dezembro | 2017,  581000000, 2460341
Janeiro | 2018,   720000000, 2969173
Fevereiro | 2018, 615000000, 2890347
Março | 2018,     721000000, 3695563
Abril | 2018,     729000000, 3315212
Maio | 2018,      762000000, 3062437
Junho | 2018,     789000000, 3153852
Julho | 2018,     794000000, 2957895
Agosto | 2018,    856000000, 3712170
Setembro | 2018,  815000000, 3670836
Outubro | 2018,   853000000, 3646616
Novembro | 2018,  866000000, 3743470
Dezembro | 2018,  846000000, 4122463
Janeiro | 2019,   949000000, 4537807
Fevereiro | 2019, 882000000, 4205001
Março | 2019,     948000000, 4389867
Abril | 2019,     889000000, 4184467
Maio | 2019,      939000000, 3933404
Junho | 2019,     939000000, 3396947
Julho | 2019,     917000000, 3355426
Agosto | 2019,    999000000, 3188759
Setembro | 2019,  878000000, 2942889
Outubro | 2019,   902000000, 2973666
Novembro | 2019,  880000000, 3198707
Dezembro | 2019,  882000000, 3353608
Janeiro | 2020,  1010000000,3935308
Fevereiro | 2020, 982000000,3753539
Março | 2020,    1219000000,5080031
Abril | 2020,    1792000000,7213644
Maio | 2020,     1756000000,7398081
Junho | 2020,    1629000000,7158730
Julho | 2020,    1574000000,7463817
Agosto | 2020,   1620000000,7709990
