DATAS,League of legends,Just chating,Fortine,CS:GO,GTA V,Dota 2,COD MW,Minecraft,Valorant
jan/16, 94377226        ,           0,       46, 47832863,   4014296,   45185893,           0,  10231056,        0
fev/16, 93154772        ,           0,      239, 44933218,   3216017,   41174229,           0,   8965231,        0
mar/16, 94514511        ,           0,        3, 71963213,   2665320,   42565423,           0,  10030905,        0
abr/16, 88389049        ,           0,      250, 71723213,   2372863,   42691310,           0,   7605339,        0
mai/16, 80679320        ,           0,        3, 44882927,   3062883,   46816065,           0,   6848639,        0
jun/16, 81348505        ,           0,      566, 36137071,   4359684,   56363873,           0,   7333796,        0
jul/16, 77871713        ,           0,        7, 52953297,   4371420,   32509829,           0,   7577550,        0
ago/16, 81684707        ,           0,      248, 26252677,   2878551,   52492132,           0,   5871886,        0
set/16, 81064642        ,           0,        5, 30761358,   1489213,   24806196,           0,   4368646,        0
out/16,104305242        ,           0,      239, 35446861,   2260843,   33623777,           0,   4544535,        0
nov/16, 76730765        ,           0,        0, 32928974,   1939768,   33372697,           0,   7606529,        0
dez/16, 81349398        ,           0,      303, 30576246,   2939916,   44984545,           0,   8004324,        0
jan/17, 99332369        ,           0,        1, 72376812,   4293651,   39036428,           0,  10054852,        0
fev/17, 99415477        ,           0,       46, 40480425,   2268502,   32115223,           0,   6380643,        0
mar/17, 90835130        ,           0,       11, 36870753,   3078141,   38381634,           0,   5623943,        0
abr/17, 82852693        ,           0,        9, 36569260,  15428827,   49040667,           0,   6508772,        0
mai/17, 87929525        ,           0,        1, 23364660,  19879433,   34349470,           0,   6402031,        0
jun/17, 84467396        ,           0,      129, 21829455,  13928987,   41458911,           0,   5211026,        0
jul/17, 84734733        ,           0,  3789768, 68139030,  15528826,   24378147,           0,   5440282,        0
ago/17, 72054710        ,           0,  1376994, 20163803,  10709895,   58671453,           0,   4890416,        0
set/17, 74422199        ,           0,  4703330, 27290465,   8896769,   29046828,           0,   4021099,        0
out/17, 94680105        ,           0, 16155246, 28388369,   7545910,   31623627,           0,   4288002,        0
nov/17, 82917485        ,           0, 23390963, 25703362,   9899556,   39629718,           0,   4162500,        0
dez/17, 68756773        ,           0, 32129147, 18625865,  10773689,   32147397,           0,   4343532,        0
jan/18, 89024896        ,           0, 45936666, 69603467,  12936876,   30921434,           0,   3998724,        0
fev/18, 81115898        ,           0, 65693934, 37486546,  14628223,   32977773,           0,   3334973,        0
mar/18, 88820363        ,           0,118391174, 28078226,  10435918,   40110394,           0,   3626808,        0
abr/18, 74263170        ,           0,128654925, 22925690,   9860431,   40141922,           0,   3991870,        0
mai/18, 82088339        ,           0,144602326, 26429452,  11678663,   39064436,           0,   3074493,        0
jun/18, 72491544        ,           0,126859989, 21897817,  12183806,   48098529,           0,   3079644,        0
jul/18, 75783584        ,           0,152086231, 26762517,  16164631,   28746933,           0,   5193371,        0
ago/18, 81349939        ,           0,131436549, 21697899,  15273574,   69776434,           0,   5336083,        0
set/18, 76553910        ,     3791420,106325201, 70564750,  13158117,   25854637,           0,   4038129,        0
out/18,109191567        ,    37306055,112125020, 24204390,  11902910,   30033003,           0,   4403349,        0
nov/18, 82622624        ,    45819619,107793716, 26556456,   9626848,   34770932,           0,   4162500,        0
dez/18, 72074851        ,    54386753,118143183, 25568114,   9374254,   34260252,           0,   6397637,        0
jan/19, 98976171        ,    59064487,126502656, 30778297,  12142875,   46512393,           0,  10827913,        0
fev/19, 94991296        ,    51698098, 84064959, 47256109,  12816268,   50259236,           0,   6267012,        0
mar/19,108481064        ,    58236586,101265583, 35411834,   61516480   ,50333147   ,       0,   5431901,        0
abr/19, 92428052        ,    58637850,100443090, 30853367,   83055988   ,29498775   ,       0,   6147358,        0
mai/19,102843574        ,    60652701,107228121, 29661382,   74723749   ,46710399   ,    8511,   8918471,        0
jun/19, 89156672        ,    61663846, 92750132, 30260300,   59832423   ,42929219   ,    1554,  17073543,        0
jul/19, 68210459        ,    60624575, 90508922, 40700017,   62716588   ,40975198   ,  178521,  18730470,        0
ago/19, 86094493        ,    65042052, 89053008, 46112933,   64717903   ,70885379   , 2834656,  32739148,        0
set/19, 77579176        ,    63835583, 60441768, 46007837,   39488952   ,25854637   ,12193758,  23589113,        0
out/19,125658644        ,    68419996, 79089347, 44765681,   36887640   ,30033003   ,22685352,  15065040,        0
nov/19, 95436703        ,    68267215, 58552659, 35606495,   33148853   ,34770932   ,27132737,  15763839,        0
dez/19, 78579242        ,    83590066, 64228513, 40460483,   37868145   ,34260252   ,17686745,  16923425,        0
jan/20, 99657869        ,    88378302, 53731549, 33893286,   42646840   , 4402520   , 9027723,  18707737,        0   
fev/20,121635889        ,    89799571, 55475583, 49796451,   34971672   ,34971672   , 8389168,  17225482,        0   
mar/20,123599885        ,   112003986, 66249206, 66797699,   56174067   , 4184913   ,96459529,  22035430,        0
abr/20,135859472        ,   141922978, 97700836, 86673161,   75744434   ,54477072   ,80164314,  41127736,344551979
mai/20,127698472        ,   181536582,122842189, 76786808,  100049997   ,51023847   ,91664784,  41091438,144780385
jun/20,143290296        ,   174681829,111733315, 76001332,  100533035   ,41177114   ,86836610,  38878256, 55560006
jul/20,135123272        ,   182688702,105305814, 41902442,   94129970   ,35906928   ,87748177,  52964781, 56840893
ago/20,142551572        ,   170478547, 98814094, 48243344,   83320277   ,38252005   ,84319459,  40361660, 54462195
